Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Heavily indebted poor countries (HIPC),HPC,488000,497000,499000,500000,498000,500000,499000,502000,516000,522000,518000,518000,517000,507000,497000,492000,489000,484000,488000,508000,505000,493000,477000,470000,477000,471000,466000,469000,471000,543000,566000
Croatia,HRV,1114000,1101000,1068000,1063000,1017000,968000,971000,1139000,1356000,1606000,1582000,1505000,1392000,1366000,1260000,1113000,991000,853000,920000,1162000,1368000,1593000,1725000,1729000,1618000,1310000,1121000,843000,662000,751000,868000
Haiti,HTI,751000,759000,755000,761000,726000,730000,728000,725000,720000,840000,963000,1083000,1200000,1332000,1442000,1569000,1680000,1634000,1566000,1538000,1453000,1410000,1400000,1395000,1396000,1393000,1388000,1386000,1391000,1545000,1573000
Hungary,HUN,850000,994000,1210000,1085000,1017000,1002000,899000,893000,693000,656000,567000,561000,579000,583000,719000,749000,741000,782000,1003000,1117000,1103000,1100000,1018000,773000,681000,511000,416000,371000,342000,425000,412000
IBRD only,IBD,455000,461000,485000,522000,553000,563000,569000,592000,616000,602000,618000,638000,647000,630000,624000,599000,577000,566000,599000,578000,566000,559000,558000,558000,571000,582000,576000,563000,566000,688000,644000
IDA & IBRD total,IBT,441000,447000,468000,501000,527000,536000,542000,563000,583000,572000,585000,601000,609000,592000,585000,562000,544000,535000,562000,544000,535000,531000,532000,530000,544000,558000,557000,547000,549000,661000,631000
IDA total,IDA,367000,375000,385000,395000,399000,412000,415000,427000,433000,436000,437000,437000,437000,427000,418000,405000,405000,410000,414000,409000,414000,423000,430000,424000,443000,470000,488000,492000,489000,570000,587000
IDA blend,IDB,306000,316000,332000,354000,363000,388000,388000,405000,400000,386000,373000,355000,342000,326000,312000,299000,280000,281000,286000,293000,296000,329000,365000,351000,407000,501000,561000,579000,571000,659000,665000
Indonesia,IDN,262000,273000,278000,437000,460000,486000,468000,546000,636000,608000,608000,660000,666000,730000,794000,755000,806000,721000,611000,561000,515000,447000,434000,405000,451000,430000,388000,440000,362000,428000,441000
IDA only,IDX,393000,401000,408000,413000,415000,422000,427000,437000,448000,459000,466000,474000,480000,472000,465000,452000,461000,467000,471000,461000,467000,466000,460000,457000,460000,456000,456000,454000,453000,531000,553000
India,IND,560000,573000,569000,574000,576000,574000,561000,567000,574000,556000,558000,553000,564000,563000,561000,560000,557000,541000,554000,555000,543000,541000,542000,544000,543000,542000,536000,533000,527000,800000,598000
